Provincias,Trabajadores,Establecimientos,Sum
SORIA,23815,3235,02-2001
SORIA,24657,3407,06-2001
SORIA,23951,3424,12-2001
SORIA,24230,3454,03-2002
SORIA,25071,3472,12-2002
SORIA,24853,3485,09-2002
SORIA,25142,3609,03-2003
SORIA,26185,3671,12-2003
SORIA,25486,3681,06-2003
SORIA,25679,3706,03-2004
SORIA,26064,3729,09-2003
SORIA,26312,3744,06-2004
SORIA,26870,3745,09-2004
SORIA,26914,3764,12-2004
SORIA,26272,3767,03-2005
SORIA,26733,3772,06-2005
SORIA,27379,3949,03-2006
SORIA,28146,3959,03-2007
SORIA,27937,3966,06-2006
SORIA,27911,3981,12-2005
SORIA,28315,4000,09-2006
SORIA,28977,4002,12-2006
SORIA,27712,4003,09-2005
SORIA,28883,4003,06-2007
SORIA,29708,4092,09-2007
SORIA,30309,4118,12-2007
SORIA,30093,4119,06-2008
SORIA,29475,4131,03-2008
SORIA,28795,4144,03-2010
SORIA,28851,4155,06-2010
SORIA,28962,4173,03-2009
SORIA,28232,4174,12-2011
SORIA,28847,4178,06-2009
SORIA,29548,4224,09-2009
SORIA,30666,4227,09-2008
SORIA,29009,4236,03-2011
SORIA,28100,4253,03-2012
SORIA,29779,4262,12-2009
SORIA,29806,4265,09-2010
SORIA,30119,4284,12-2008
SORIA,28570,4292,12-2010
SORIA,29345,4328,06-2011
SORIA,29496,4328,09-2011
SORIA,26158,4500,12-2013
SORIA,26409,4519,03-2014
SORIA,27185,4566,09-2013
SORIA,26720,4575,03-2013
SORIA,26896,4582,12-2012
SORIA,27337,4588,09-2014
SORIA,27201,4635,06-2013
SORIA,27465,4655,06-2014
SORIA,28496,4659,06-2012
SORIA,28707,4670,09-2012
AVILA,31023,5132,02-2001
PALENCIA,39186,5167,02-2001
PALENCIA,40194,5265,12-2001
AVILA,32061,5364,12-2001
PALENCIA,41200,5375,06-2001
AVILA,32348,5376,06-2001
PALENCIA,40901,5405,03-2002
AVILA,31996,5476,03-2002
PALENCIA,42483,5505,12-2002
SEGOVIA,33668,5513,02-2001
PALENCIA,41767,5527,09-2002
AVILA,33203,5582,12-2002
SEGOVIA,35050,5658,06-2001
AVILA,33304,5667,09-2002
SEGOVIA,35072,5735,12-2001
PALENCIA,42282,5820,03-2003
PALENCIA,42881,5852,06-2003
SEGOVIA,35981,5884,03-2002
AVILA,33683,5920,06-2003
AVILA,33951,5924,03-2003
PALENCIA,42339,5928,03-2004
ZAMORA,32404,5939,02-2001
PALENCIA,43588,5960,06-2004
SEGOVIA,36816,5982,12-2002
PALENCIA,44288,5987,12-2003
PALENCIA,44084,5991,09-2003
ZAMORA,33613,6004,12-2001
SEGOVIA,37154,6045,09-2002
AVILA,33908,6071,03-2004
AVILA,34692,6083,12-2003
PALENCIA,44138,6083,03-2005
PALENCIA,45676,6091,12-2004
PALENCIA,44742,6093,09-2004
AVILA,34588,6094,06-2004
AVILA,34761,6116,09-2003
PALENCIA,45038,6177,06-2005
ZAMORA,34273,6192,03-2002
ZAMORA,34228,6229,06-2001
AVILA,36027,6259,09-2004
SEGOVIA,38241,6277,03-2003
AVILA,36683,6287,12-2004
SEGOVIA,38385,6326,06-2003
ZAMORA,35750,6345,12-2002
AVILA,36508,6368,03-2005
ZAMORA,35219,6406,09-2002
SEGOVIA,39443,6424,12-2003
ZAMORA,35303,6425,03-2003
PALENCIA,46519,6426,12-2011
PALENCIA,46037,6436,09-2005
SEGOVIA,39114,6438,03-2004
SEGOVIA,39301,6449,09-2003
AVILA,36499,6455,06-2005
PALENCIA,47378,6458,12-2005
PALENCIA,45774,6460,03-2006
PALENCIA,47282,6462,06-2010
PALENCIA,45876,6474,03-2012
PALENCIA,47737,6494,03-2011
PALENCIA,47663,6502,03-2010
ZAMORA,36047,6532,03-2004
SEGOVIA,39597,6533,06-2004
PALENCIA,48624,6536,09-2010
PALENCIA,48382,6551,09-2011
PALENCIA,46457,6575,06-2006
ZAMORA,36144,6576,06-2003
PALENCIA,47103,6578,12-2010
PALENCIA,47976,6612,06-2009
PALENCIA,48654,6652,06-2011
PALENCIA,47181,6660,03-2007
PALENCIA,48706,6660,09-2009
PALENCIA,49435,6667,12-2009
PALENCIA,46827,6690,09-2006
PALENCIA,48732,6713,12-2006
PALENCIA,49033,6725,03-2009
ZAMORA,37505,6739,06-2004
SEGOVIA,40409,6741,09-2004
PALENCIA,48241,6743,06-2007
SEGOVIA,41275,6782,12-2004
ZAMORA,37459,6798,09-2003
ZAMORA,37784,6800,03-2005
ZAMORA,38814,6809,12-2003
