3/2005,665864,440590,624484,369625,41380,70963,3733,13966
6/2005,674569,445471,638121,384981,36445,60489,4561,8643
9/2005,684678,456700,650427,403249,34250,53449,4114,9209
12/2005,673631,459595,634898,401651,38731,57944,6233,8894
3/2006,669154,456626,629231,393621,39923,63006,2840,7428
6/2006,676069,461400,640494,403296,35579,58104,3662,9990
9/2006,684219,473415,650473,420129,33745,53286,4131,8955
12/2006,674710,477544,642152,422746,32557,54799,3715,8735
3/2007,674718,473076,641770,421357,32950,51720,3824,6954
6/2007,680009,477197,649377,424429,30631,52767,5466,6886
9/2007,697710,483311,661995,436302,35716,47007,7498,6330
12/2007,688382,486505,655964,437399,32418,49107,4508,7688
3/2008,691165,492071,654501,431465,36666,60604,4274,7541
6/2008,692557,490256,648673,423404,43883,66852,4111,11018
9/2008,694183,504223,644440,440509,49741,63714,4803,12729
12/2008,686467,507257,625553,432068,60915,75189,4647,15101
3/2009,680731,503368,597937,418970,82795,84396,3791,11928
6/2009,683334,508039,596191,423621,87142,84417,5166,14195
9/2009,678686,505339,605043,423040,73643,82299,5506,13504
12/2009,678772,507106,593614,423739,85156,83367,4325,8679
3/2010,677101,505511,576358,419023,100742,86489,6177,8551
6/2010,682585,520735,585830,420326,96755,100410,5968,11813
9/2010,682932,525280,591298,433249,91633,92031,6606,12925
12/2010,673766,521227,576521,429909,97245,91318,5586,9040
3/2011,662788,523770,555481,423295,107307,100475,6940,9030
6/2011,673706,525050,569571,431320,104137,93728,8620,8180
9/2011,681343,527946,577248,435600,104097,92343,10733,10994
12/2011,669798,521961,563708,422949,106091,99013,8051,8446
3/2012,663966,521089,545108,409879,118859,111210,7522,9987
6/2012,675180,524358,553838,407961,121338,116398,8188,14089
9/2012,678144,525360,562435,409593,115709,115768,12056,15250
12/2012,657122,519844,530778,402104,126345,117739,9904,11916
3/2013,644489,529895,504778,402757,139711,127138,8353,15289
6/2013,643468,527355,518188,402767,125278,124588,7499,15886
9/2013,649108,524262,527026,400953,122083,123310,9466,15670
12/2013,641389,524313,507957,401070,133430,123244,10004,13783
3/2014,634192,524710,500905,400603,133286,124108,8359,13075
6/2014,641384,523303,512187,405887,129197,117416,10473,10908
9/2014,645551,519673,533218,405961,112333,113712,10533,14295
