" Población Total por Edades y Sexo"

"FECHA","1996",,,"1998",,,"1999",,,"2000",,,"2001",,,"2002",,,"2003",,,"2004",,,"2005",,,"2006",,,"2007",,,"2008",,,"2009",,,"2010",,,"2011",,,"2012",,,"2013",,,
"SEXO","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL",
,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION
EDAD,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum
"   0",8807.1007569,8445.1319945,17252.232751,6458.2761501,6054.5026907,12512.778841,7423.4028045,6907.5091827,14330.911987,6466.4630264,6127.0585388,12593.521565,7053.3544381,6618.3545907,13671.709029,6954.7945651, 6783.876711,13738.671276,        8132,        7493,       15625,        7992,        7776,       15768,        8615,        8039,       16654,        9079,        8364,       17443,        9191,        8518,       17709,        9495,        8692,       18187,       10175,        9646,       19821,        9910,        9363,       19273,       10059,        9370,       19429,        9463,        8899,       18362,        9305,        8721,       18026
"   1",9147.1048393,8333.2139027,17480.318742,7677.6613245,7399.0143522,15076.675677,7849.3885162,7387.9023276,15237.290844,7624.5201191,7147.9777464,14772.497866,7125.3556531,6794.3198809,13919.675534,7921.9485359, 7413.907563,15335.856099,        8027,        7739,       15766,        8747,        8073,       16820,        8951,        8886,       17837,        9502,        8940,       18442,        9769,        9096,       18865,       10128,        9486,       19614,       10345,        9577,       19922,       10856,       10278,       21134,       10500,        9949,       20449,       10430,        9767,       20197,       10043,        9496,       19539
"   2",9581.9105789,8983.0496892,18564.960268,9004.7527858,8591.2664375,17596.019223,7846.4389758,7550.3575853,15396.796561,8192.9514835,7676.9921556,15869.943639,8043.6745859,7465.7081386,15509.382725,7739.9540465, 7400.987264, 15140.94131,        8707,        8117,       16824,        8719,        8444,       17163,        9279,        8567,       17846,        9346,        9322,       18668,        9798,        9286,       19084,       10283,        9626,       19909,       10406,        9742,       20148,       10573,        9819,       20392,       10996,       10424,       21420,       10497,        9984,       20481,       10486,        9827,       20313
"   3",10050.981871,9587.3464477,19638.328319,9375.2662691,8623.9860321,17999.252301, 8958.532884,8560.6137061, 17519.14659,8238.2098431,7914.9983441,16153.208187,8607.6828879,8118.8456937,16726.528582,8566.0362899, 7994.151808,16560.188098,        8363,        8110,       16473,        9224,        8579,       17803,        9168,        8874,       18042,        9610,        8955,       18565,        9678,        9596,       19274,       10340,        9693,       20033,       10533,        9895,       20428,       10619,       10016,       20635,       10792,       10032,       20824,       11114,       10540,       21654,       10567,       10051,       20618
"   4",10343.891006,9611.4964126,19955.387418,9799.4380512,9317.2014524,19116.639504,9387.2660633,8635.3812078,18022.647271,9198.0186172,8776.7941568,17974.812774,8480.6854791,8199.8485601,16680.534039,8942.0274804, 8466.205799,17408.233279,        8893,        8290,       17183,        8764,        8468,       17232,        9557,        8893,       18450,        9388,        9057,       18445,        9843,        9131,       18974,       10032,        9855,       19887,       10562,        9936,       20498,       10642,       10059,       20701,       10686,       10107,       20793,       10837,       10052,       20889,       11122,       10550,       21672
"   5",10744.209484, 10262.44629,21006.655774,10348.749477,9683.6165253,20032.366002,9794.9656978,9306.7556364,19101.721334,9519.8956421,8737.7820507,18257.677693,9192.8780249, 8848.023505, 18040.90153,8677.0738665, 8354.154379,17031.228246,        9246,        8804,       18050,        9190,        8592,       17782,        9127,        8866,       17993,        9755,        9060,       18815,        9590,        9209,       18799,       10159,        9437,       19596,       10238,       10024,       20262,       10646,       10054,       20700,       10717,       10107,       20824,       10692,       10135,       20827,       10800,       10035,       20835
"   6",10985.111717,10564.664175,21549.775892, 10641.00841,9850.9543331,20491.962743,10379.708784,9699.7665967, 20079.47538,9889.8721768,9442.4720163,19332.344193,9604.0223445,8817.0039619,18421.026306,9313.2171609, 9000.270074,18313.487235,        9084,        8722,       17806,        9502,        9082,       18584,        9368,        8755,       18123,        9389,        9095,       18484,       10002,        9264,       19266,        9904,        9490,       19394,       10335,        9617,       19952,       10328,       10158,       20486,       10702,       10090,       20792,       10752,       10162,       20914,       10680,       10112,       20792
"   7",11542.713466,10779.889806,22322.603272,10748.120712,10402.884902,21151.005614,10645.491319,9857.5489405,20503.040259,10480.441419,9824.2930106, 20304.73443,9950.8493426,9533.3093626,19484.158705,9700.2922049,  8914.31121,18614.603415,        9479,        9159,       18638,        9338,        8949,       18287,        9659,        9214,       18873,        9527,        8895,       18422,        9644,        9285,       18929,       10277,        9494,       19771,       10076,        9600,       19676,       10435,        9715,       20150,       10386,       10242,       20628,       10739,       10092,       20831,       10737,       10195,       20932
"   8",11792.441178, 11294.80079,23087.241969,11231.853351,10867.796385,22099.649736,10778.188017,10403.684477,21181.872493,10752.540567, 9914.723592,20667.264159,10518.015562,9896.2142437,20414.229806,10062.260274, 9635.504035,19697.764309,        9908,        9100,       19008,        9598,        9322,       18920,        9514,        9123,       18637,        9834,        9401,       19235,        9682,        9032,       18714,        9877,        9579,       19456,       10428,        9661,       20089,       10194,        9674,       19868,       10503,        9759,       20262,       10395,       10280,       20675,       10694,       10049,       20743
